batsman_id,batsman_name,bowler_id,bowler_name,comm_text,dismissal_type,inns,is_dismissal,match,over_ball,runs,series
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,slower but all Bhuvneshwar needs to do is get forward to defend. Too full,,2.0,False,1122276,63.2,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"much better. Slower and shorter, Bhuvneshwar waits and defends, but lovely length",,2.0,False,1122276,63.3,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"flat and wide outside off, carved away towards cover point",,2.0,False,1122276,63.4,1,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"slow outside off, 80 kph, outside-halved to point",,2.0,False,1122276,63.5,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"flat on middle and leg, pushed away towards mid-on. Maharaj gets across to cut off the run to long-on",,2.0,False,1122276,63.6,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"good length outside off, left alone",,2.0,False,1122276,64.1,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"short but too wide outside off, another easy leave",,2.0,False,1122276,64.2,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"a tad fuller and closer to off, but easy enough to leave",,2.0,False,1122276,64.3,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"beaten on the outside edge again! Full outside off, the ball goes past as Bhuvneshwar drives",,2.0,False,1122276,64.4,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"good length around off, tapped to point, 140 kph",,2.0,False,1122276,64.5,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"135 kph, short and wide and Bhuvneshwar looks to cut but he misses as the ball swerves past the edge.",,2.0,False,1122276,64.6,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"flight outside off, a thick outside edge past slip for three. Morne Morkel runs it down from third man",,2.0,False,1122276,65.1,3,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"flight around off, 87 kph, inside-edged towards midwicket",,2.0,False,1122276,65.2,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"quicker, change in trajectory, pushed back",,2.0,False,1122276,65.3,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"driven away towards cover, a tad full",,2.0,False,1122276,65.4,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"slightly shorter and wide outside off, defended",,2.0,False,1122276,65.5,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"the non-turner. The slider. Quick outside off, Bhuvneshwar leaves, and the ball goes through",,2.0,False,1122276,65.6,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"134 kph, short down leg, Pandya misses a pull. De Kock can't collect cleanly either, allows a bye. But that length is working, he hardly looks comfortable",,2.0,False,1122276,66.1,1,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"short and wide outside off, 135 kph. The ball goes over the bat",,2.0,False,1122276,66.2,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"good length outside off, left alone. Feel like SA are wresting back control in this period.",,2.0,False,1122276,66.3,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"good leave. 135 kph, good length outside off, left alone",,2.0,False,1122276,66.4,0,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"edged and taken this time! Just felt like it was coming. Full delivery outside off, Bhuvneshwar pushes at the ball, looking for that gap through cover, but he gets a thick outside edge. Discernible away movement. Morkel is pumped. End of a terrific knock from Bhuvneshwar, ends a 99-run stand with Pandya",caught,2.0,True,1122276,66.5,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"full delivery outside off, swings away. This ball has started swinging again. Beaten on the outside edge",,2.0,False,1122276,66.6,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"short delivery around off, Pandya walks right across again, looking to pull for six, not along the ground, gave it everything. But missed",,2.0,False,1122276,67.1,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"lovely bowling. 137 kph, sees Pandya changing his stance, gives himself room, and Rabada follows him. De Kock dives away to his left to save four",,2.0,False,1122276,67.2,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"another short one, how many can you bowl? Pandya ducks",,2.0,False,1122276,67.3,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"full around off, pushed back.",,2.0,False,1122276,67.4,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"not as short, 139 kph and Pandya misses the pull. Short delivery on middle and leg, Pandya looks to pull but the ball goes through his pull and smashes him in the groin area. YOUCH.",,2.0,False,1122276,67.5,0,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"full delivery outside off, 148 kph, pushed towards mid-off. Rabada dives to his left but can't prevent the single. Steals the strike",,2.0,False,1122276,67.6,1,18065
625371,Hardik Pandya,46538,Morne Morkel,"playing with the line of that bouncer. Into the 90s. Short delivery around off, Pandya backs away then comes back inside the line and swats the pull over cover.",,2.0,False,1122276,68.1,4,18065
625371,Hardik Pandya,46538,Morne Morkel,"short again around off, Pandya gets underneath. 90 off 90, terrific innings",,2.0,False,1122276,68.2,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"another short delivery on off, Pandya sways away",,2.0,False,1122276,68.3,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"the full, swinging delivery. Follows Pandya as he backs away, beaten for pace as the yorker hits him on the pads",,2.0,False,1122276,68.4,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"a full toss on leg, pushed to mid-off for a couple.",,2.0,False,1122276,68.5,2,18065
625371,Hardik Pandya,46538,Morne Morkel,"another short delivery around off, pulled to deep square leg for a run. Rode the bounce, played it down.",,2.0,False,1122276,68.6,1,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"edged and gone for 93. Looks for the ramp over gully, but he can only nick off. Rabads strikes. Awesome innings from Pandya though. Short and wide, was there for the slot but there is some extra bounce and the top edge is found. This time, there is a hug and a kiss from du Plessis. To put this innings into context, India are still well behind SA. The game may have been over without it.",caught,2.0,True,1122276,69.1,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,digs it in. Rabada says remember yesterday with a bouncer around off. Bumrah sways,,2.0,False,1122276,69.2,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"145 kph, full delivery outside off, pushed through cover for a run. Bumrah's first Test run",,2.0,False,1122276,69.3,1,18065
481896,Mohammed Shami,550215,Kagiso Rabada,"short delivery outside off, beaten on the outside edge",,2.0,False,1122276,69.4,0,18065
481896,Mohammed Shami,550215,Kagiso Rabada,"143 kph, full around off, the ball seams away and beats the bat",,2.0,False,1122276,69.5,0,18065
481896,Mohammed Shami,550215,Kagiso Rabada,"quick, but down leg, 143 kph. Good stop from de Kock, to his left",,2.0,False,1122276,69.6,0,18065
625383,Jasprit Bumrah,46538,Morne Morkel,"back of a length on middle and leg, 138 kph, off the splice of the bat towards point",,2.0,False,1122276,70.1,1,18065
481896,Mohammed Shami,46538,Morne Morkel,"short down leg, 140 kph, hurried on the pull. Gloved away",,2.0,False,1122276,70.2,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"short again, on middle and leg, played into the leg side, 134 kph",,2.0,False,1122276,70.3,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"another short one directed at the ribs, fended into the leg side. Good discipline from Shami",,2.0,False,1122276,70.4,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"back of a length down leg, Shami stands his ground and swings, hit on the back arm",,2.0,False,1122276,70.5,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"well played. 135 kph, short on leg. Shami watches the ball carefully onto his bat and blocks.",,2.0,False,1122276,70.6,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"full and wide outside off, Bumrah tries to drive but reaches too late",,2.0,False,1122276,71.1,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"full around off, skewed away off the outside half",,2.0,False,1122276,71.2,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"there's four leg byes. Short down leg, off the thigh pad down to fine leg.",,2.0,False,1122276,71.3,4,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"good length on middle and leg, off the thigh pad to short leg. But no bat",,2.0,False,1122276,71.4,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"141 kph, full and straight, off the outside edge down to third slip. Nothing is going past Faf and AB",,2.0,False,1122276,71.5,0,18065
625383,Jasprit Bumrah,550215,Kagiso Rabada,"full delivery outside off, 140 kph, defended to cover.",,2.0,False,1122276,71.6,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"full outside off, 135 kph, Shami drives but the ball goes past the outside edge",,2.0,False,1122276,72.1,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"and again. Full delivery outside off, Shami drives with his feet rooted to the crease, the ball goes past the edge",,2.0,False,1122276,72.2,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"full and wide again, Shami drives but the ball goes past the edge",,2.0,False,1122276,72.3,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"four in four. Shami swings, the ball goes past the edge. Just enough swing. The nick cannot be far off",,2.0,False,1122276,72.4,0,18065
481896,Mohammed Shami,46538,Morne Morkel,"runs, vital runs. Full outside off, Shami swings, gets a thick outside edge which flies down to the third man boundary",,2.0,False,1122276,72.5,4,18065
481896,Mohammed Shami,46538,Morne Morkel,"full and wide again, 138 kph, Shami swings but makes no contact",,2.0,False,1122276,72.6,0,18065
